district_code,district_name,neighbourhood_code,neighbourhood_name,temporaray_exhibitions,cluster
3,Sants-Montjuïc,14,la Font de la Guatlla,7,0
10,Sant Martí,67,la Vila Olímpica del Poblenou,6,0
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,10,0
9,Sant Andreu,60,Sant Andreu,8,0
6,Gràcia,31,la Vila de Gràcia,4,0
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2,0
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1,0
4,Les Corts,20,la Maternitat i Sant Ramon,4,0
10,Sant Martí,71,Provençals del Poblenou,1,0
3,Sants-Montjuïc,11,el Poble Sec,28,0
2,Eixample,9,la Nova Esquerra de l'Eixample,4,0
2,Eixample,7,la Dreta de l'Eixample,21,0
2,Eixample,5,el Fort Pienc,4,0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,0
1,Ciutat Vella,3,la Barceloneta,2,0
1,Ciutat Vella,2,el Barri Gòtic,6,0
10,Sant Martí,70,el Besòs i el Maresme,2,0
1,Ciutat Vella,1,el Raval,58,1
